METADATA,,,,,,,,
title.en,Countries or geographical areas for which information regarding cessation of telex service has been published in the ITU Operational Bulletin (No.),,,,,,,
title.fr,Pays ou zones géographiques pour lesquels des renseignements relatifs à la cessation du service télex ont été publiés dans le bulletin d'exploitation de l'UIT (No),,,,,,,
title.es,Países o zonas geográficas para los cuales una información sobre la cesación de servicio de télex ha sido publicada en el Boletín de Explotación de la UIT (N.),,,,,,,
locale.coding.en,Coding,,,,,,,
locale.coding.fr,Codage,,,,,,,
locale.coding.es,SCODIFICACIÓN,,,,,,,
locale.decoding.en,Decoding,,,,,,,
locale.decoding.fr,DÉCODAGE,,,,,,,
locale.decoding.es,DESCODIFICACIÓN,,,,,,,
locale.accounts.en,ACCOUNTS,,,,,,,
locale.accounts.fr,COMPTABILITE,,,,,,,
locale.accounts.es,CONTABILIDAD,,,,,,,
locale.acknowledgement_of_receipt.en,ACKNOWLEDGEMENT OF RECEIPT,,,,,,,
locale.acknowledgement_of_receipt.fr,ACCUSÉS DE RÉCEPTION,,,,,,,
locale.acknowledgement_of_receipt.es,ACUSES DE RECIBO,,,,,,,
locale.addresses.en,ADDRESSES,,,,,,,
locale.addresses.fr,ADRESSES,,,,,,,
locale.addresses.es,DIRECCIONES,,,,,,,
locale.cancellations.en,CANCELLATIONS,,,,,,,
locale.cancellations.fr,ANNULATIONS,,,,,,,
locale.cancellations.es,ANULACIONES,,,,,,,
locale.circulation.en,CIRCULATION,,,,,,,
locale.circulation.fr,ADRESSES,,,,,,,
locale.circulation.es,CIRCULATION,,,,,,,
locale.delay.en,DELAY,,,,,,,
locale.delay.es,,,,,,,,
locale.delay.fr,,,,,,,,
locale.delivery.en,DELIVERY,,,,,,,
locale.delivery.es,,,,,,,,
locale.delivery.fr,,,,,,,,
locale.disposal.en,DISPOSAL,,,,,,,
locale.disposal.es,,,,,,,,
locale.disposal.fr,,,,,,,,
locale.duplications.en,DUPLICATIONS,,,,,,,
locale.duplications.es,,,,,,,,
locale.duplications.fr,,,,,,,,
locale.enquiries.en,ENQUIRIES,,,,,,,
locale.enquiries.es,,,,,,,,
locale.enquiries.fr,,,,,,,,
locale.errors_mutilations_omissions.en,"ERRORS, MUTILATIONS, OMISSIONS",,,,,,,
locale.errors_mutilations_omissions.es,,,,,,,,
locale.errors_mutilations_omissions.fr,,,,,,,,
locale.miscellaneous.en,MISCELLANEOUS,,,,,,,
locale.miscellaneous.es,,,,,,,,
locale.miscellaneous.fr,,,,,,,,
locale.refunds.en,REFUNDS,,,,,,,
locale.refunds.es,,,,,,,,
locale.refunds.fr,,,,,,,,
locale.registered_addresses.en,REGISTERED ADDRESSES,,,,,,,
locale.registered_addresses.es,,,,,,,,
locale.registered_addresses.fr,,,,,,,,
locale.repetitions_and_corrections.en,REPETITIONS AND CORRECTIONS,,,,,,,
locale.repetitions_and_corrections.es,,,,,,,,
locale.repetitions_and_corrections.fr,,,,,,,,
locale.restrictions.en,RESTRICTIONS,,,,,,,
locale.restrictions.es,,,,,,,,
locale.restrictions.fr,,,,,,,,
locale.telex.en,TELEX,,,,,,,
locale.telex.es,,,,,,,,
locale.telex.fr,,,,,,,,
locale.word_counts.en,WORD COUNTS,,,,,,,
locale.word_counts.es,,,,,,,,
locale.word_counts.fr,,,,,,,,
,,,,,,,,
DATA,,,,,,,,
code,section,field,field_desc.en,field_desc.fr,field_desc.es,message.en,message.fr,message.es
APHAD,decoding,,,,,We are debiting you.,Nous vous débitons.,Les cargamos en cuenta.
ASSUM,decoding,,,,,Cannot give better address.,Ne pouvons donner meilleure adresse.,No podemos dar mejor dirección.
ATFIX,decoding,,,,,Give full address.,Donnez adresse complète.,Comuniquen dirección completa.
ATHAS,decoding,,,,,State name and address of sender.,Communiquez nom et adresse de l’expéditeur.,Comuniquen nombre y dirección del expedidor.
ATJAW,decoding,,,,,Give name of addressee.,Donnez le nom du destinataire.,Comuniquen nombre del destinatario.
AYGUM,decoding,,,,,Please have address confirmed by sender.,Prière faire confirmer adresse par l’expéditeur.,Rogamos hagan confirmar la dirección al expedidor.
AYHAW,decoding,,,,,Read name of addressee __________.,Lire nom du destinataire __________.,Lean el nombre del destinatario __________.
AYJET,decoding,,,,,Read telegraph office of destination as __________.,Lire bureau télégraphique de destination __________.,Lean oficina telegráfica de destino __________.
AZBIN,decoding,,,,,Sender's contact address is __________.,Expéditeur peut être touché à l’adresse __________.,Puede encontrarse al expedidor en __________.
AZFOP,decoding,,,,,"__________ blank, diverted.","__________ manque, dévié.","__________ falta, desviado."
AZGUN,decoding,,,,,Cancel __________ for abstract and accounting purposes.,Annulez __________ pour la comptabilité.,Anulen __________ para contabilidad.
AZJEW,decoding,,,,,"Cancel, error of service.","Annulez, erreur de service.","Anulen, error de servicio."
AZKEG,decoding,,,,,Cancel our number __________.,Annulez notre numéro __________.,Anulen nuestro número __________.
AZRED,decoding,,,,,"Cancel, misrouted.","Annulez, erreur d’acheminement.",Anulen. Error de encaminamiento.
BABBA,decoding,,,,,Cancel at sender's request.,Annulez sur demande de l’expéditeur.,Anulen a petición del expedidor.
BABSO,decoding,,,,,Telegram (or service telegram/advice) number __________ cancelled.,Télégramme (ou télégramme de service/avis de service) numéro __________ annulé.,Telegrama (o telegrama de servicio/aviso de servicio) número __________ anulado.
BACYS,decoding,,,,,Blank numbers __________.,Manquent les numéros __________.,Faltan los números __________.
BADPO,decoding,,,,,Shall we cancel?,Devons-nous annuler?,¿Debemos anular?
BINZA,decoding,,,,,Recognized Operating Agency (ROA) does not admit this class of traffic.,Exploitation reconnue (ER) n’admet pas cette catégorie de trafic.,Empresa de explotación reconocida (EER) no admite esta categoría de tráfico.
CEPAD,decoding,,,,,In our number __________ number of words __________ correct.,Dans notre numéro __________nombre des mots __________ correct.,En nuestro número __________cómputo de palabras __________ correcto.
CESAP,decoding,,,,,Wrong number of words __________ actuals received.,Nombre des mots inexact __________ en fait reçu __________.,Número de palabras erróneo __________ recibidas ___________.
